!!!SBtab Document="test"
!!SBtab TableID="t_Reaction" SBtabVersion="1.0" Document="test" TableType="Reaction" TableName="Reaction"
!ID	!Name	!Type	!IsReversible	!ReactionFormula	!Modifiers	!Regulator	!Location	!KineticLaw	!SBOTerm
re1		reaction	FALSE	s1 <=>s4			c1		
re2		reaction	TRUE	s2 <=> s3		s4	c1		
re3		reaction	TRUE	s5 <=> s6		s1	c2		
re4		reaction	TRUE	s36 <=>  s11		s1	c2		
re5		reaction	TRUE	s7 <=> s8		s3	c2		
re6		reaction	TRUE	s9 <=> s10		s3	c2		
re7		reaction	TRUE	s14 <=> s15		s3	c2		
re8		reaction	TRUE	s16 <=> s17	s3	c2			
re9		reaction	TRUE	s18 <=> s19		s3	c2		
re10		reaction	TRUE	s12 <=> s13		s11	c3		
re11		reaction	TRUE	s20 <=> s21		s10	c3		
re12		reaction	TRUE	s22 <=> s23		s17	c3		
re13		reaction	TRUE	s24 <=> s25		s19	c3		
re14		reaction	TRUE	s26 <=> s27		s8	c4		
re15		reaction	TRUE	s28 <=> s29		s15	c4		
re16		transport	FALSE	s3 <=> s49		s4	c2		
re17		transport	FALSE	s44 <=> s43		s27	c1		
re18		transport	TRUE	s34 <=> s33		s29	c1		
re19		transport	FALSE	s30 <=> s32		s13	c6		
re20		transport	FALSE	s33 <=> s35		s21	c6		
re21		transport	FALSE	s36 <=> s39		s23	c6		
re22		transport	FALSE	s40 <=> s42		s25	c6		
re23		transport	FALSE	s43 <=> s45		s25	c6		
re24		transport	FALSE	s46 <=> s48	s25	c6			

!!SBtab TableID="t_Compound" SBtabVersion="1.0" Document="test" TableType="Compound" TableName="Compound"
!ID	!Name	!Type	!InitialValue	!Unit	!Location	!IsConstant	!InitialConcentration	!HasOnlySubstanceUnits	!SBOTerm	!Identifiers:ec-code	!Identifiers:uniprot	!Identifiers:kegg.compound	!Identifiers:obo.chebi	!Identifiers:kegg.orthology
s1	Clav	SIMPLE_MOLECULE		mM	c1		1.1							
s2	NRF2.L	PROTEIN			c1									
s3	NRF2.H	PROTEIN			c1									
s4	ROS	SIMPLE_MOLECULE			c1									
s5	FXR.H	PROTEIN			c2									
s6	FXR.L	PROTEIN			c2									
s7	NTCP.A	GENE			c2									
s8	NTCP.I	GENE			c2									
s9	BSEP.A	GENE			c2									
s10	BSEP.I	GENE			c2									
s37	MDR2.A	GENE			c2									
s11	MDR2.I	GENE			c2									
s12	MDR2.H	PROTEIN			c3									
s13	MDR2.:L	PROTEIN			c3									
s14	OSTa.A	GENE			c2									
s15	OSTa.I	GENE			c2									
s16	ABCG5.A	GENE			c2									
s17	ABCG5.I	GENE			c2									
s18	MRP2.I	GENE			c2									
s19	MRP2.A	GENE			c2									
s20	BSEP.H	PROTEIN			c3									
s21	BSEP.L	PROTEIN			c3									
s22	ABCG5.H	PROTEIN			c3									
s23	ABCG5.L	PROTEIN			c3									
s24	MRP2.L	PROTEIN			c3									
s25	MRP2.H	PROTEIN			c3									
s26	NTCP.H	PROTEIN			c4									
s27	NTCP.L	PROTEIN			c4									
s28	OSTa.H	PROTEIN			c4									
s29	OSTa.L	PROTEIN			c4									
s30	Phospholipids	SIMPLE_MOLECULE			c1									
s31	Phospholipids	SIMPLE_MOLECULE			c5									
s32	Phospholipids	SIMPLE_MOLECULE			c6									
s33	Bile acids	SIMPLE_MOLECULE			c1									
s34	Bile acids	SIMPLE_MOLECULE			c5									
s35	Bile acids	SIMPLE_MOLECULE			c6									
s36	Cholestetol	SIMPLE_MOLECULE			c1									
s38	Cholestetol	SIMPLE_MOLECULE			c5									
s39	Cholestetol	SIMPLE_MOLECULE			c6									
s40	Glutathione conjugates	SIMPLE_MOLECULE			c1									
s41	Glutathione conjugates	SIMPLE_MOLECULE			c5									
s42	Glutathione conjugates	SIMPLE_MOLECULE			c6									
s43	Bilirubin	SIMPLE_MOLECULE			c1									
s44	Bilirubin	SIMPLE_MOLECULE			c5									
s45	Bilirubin	SIMPLE_MOLECULE			c6									
s46	Oxidized glutathione	SIMPLE_MOLECULE			c1									
s47	Oxidized glutathione	SIMPLE_MOLECULE			c5									
s48	Oxidized glutathione	SIMPLE_MOLECULE			c6									
s49	NRF2.H	PROTEIN			c2									

!!SBtab TableID="t_Compartment" SBtabVersion="1.0" Document="test" TableType="Compartment" TableName="Compartment"
!ID	!Name	!OuterCompartment	!Size	!Unit
c1	Cytosol			
c2	Nucleus			
c3	Plasma membrane	apical		
c4	Plasma membrane	basolateral		
c5	blood-serum			
c6	bile canaliculi			

